college,college_name
1317,"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]"
1318,"T.J Institute of Technology - Karapakkam, Chennai[Kanchipuram(Dist)]"
1319,"Thangavelu Engineering College -Karapakkam, Chennai [Kanchipuram(Dist)]"
1320,S.R.R Engineering College -Padur [Kanchipuram(Dist)]
1321,"Central Institute of Plastics Engineering and Technology - Guindy, Chennai"
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri, Kancheepuram (Dist)"
1323,"A.C.T. College of Engineering and Technology- Maduranthagam (Tk), Kancheepuram (Dist)"
1324,"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]"
1325,St.Joseph's College of Engineering - Kancheepuram
1333,VI Institute of Technology - Kancheepuram (Dist)
1334,Balamani Arunachalam Educational & Charitable Trust's group of inst.- Kancheepuram (Dist)
1335,Sri Krishna Institute of Technology- Kancheepuram (Dist)
1399,"Chennai Institute of Technology-Puduper village, Kanchipuram Dist"
1401,"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)"
1402,Annai Teresa College of Engineering - Villupuram
1405,"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]"
1406,Dr. Paul's Engineering College - Villupuram
1407,"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]"
1408,I.F.E.T. College of Engineering - Villupuram
1409,Karpaga Vinayaga College of Engineering and Technology - Kancheepuram (Dist)
1411,"Madha Engineering College - Kunrathur, Chennai [Kanchipuram(Dist)]"
1412,Mailam Engineering College - Villupuram
1413,Sri Venkateswaraa College of Technology- Kanchipuram Dt
1414,"Prince Shri Venkateshwara Padmavathy Engineering College - Medavakkam-Mambakkam Road, Chennai[Kanchipuram(Dist)]"
1415,T.S.M. Jain College of Technology- Villupuram Dist
1416,"Sakthi Engineering College - Thiruninravur,Poonamallee ,Chennai"
1417,Shri andal Alagar College of Engineering - Kanchipuram
1418,"Sri Lakshmi Ammal Engineering College - Selaiyur,Tambaram, Chennai [Kanchipuram(Dist)]"
1419,"Sri Sairam Engineering College - West Tambaram, Chennai [Kanchipuram(Dist)]"
1420,"Tagore Engineering College - Vandalur, Chennai [Kanchipuram(Dist)]"
1421,V.R.S. College of Engineering and Technology - Villupuram
1422,"Valliammai Engineering College - Kattankulathur, Kancheepuram (Dist)"
1423,Asan Memorial College of Engineering and Technology - Chengalpet [Kanchipuram(Dist)]
1424,"Dhaanish Ahmed College of Engineering - Padappai, Chennai [Kanchipuram(Dist)]"
1426,"Sri Ramanujar Engineering College - Vandalur,Chennai [Kanchipuram(Dist)]"
1427,"Sri Krishna Engineering College -West Tambaram, Chennai [Kanchipuram(Dist)]"
1428,E.S. College of Engineering and Technology - Villupuram
1430,Maha Bharathi Engineering College - Villupuram
1431,"New Prince Shri Bhavani College of Engineering and Technology - Selaiyur,Tambaram,Chennai [Kanchipuram(Dist)]"
1432,"Rajalakshmi Institute of Technology - Kuthambakkam , Chennai[Thiruvallur(Dist)]"
1433,Sri Aravindar Engineering College - Villupuram
1434,Surya College of Engineering and Technology - Villupuram
1435,"Balaji College of Engineering and Technology - Thandalam, Chennai [Kanchipuram(Dist)]"
1436,A.R. Engineering College - Villupuram
1437,"Rrase College of Engineering - Padappai, Chennai[Kanchipuram(Dist)]"
1438,Sree Krishna College of Engineering- Vellore Dist
1439,S.R.I College of Engineering and Technology- Thiruvannamalai
1440,Jaya Suriya Engineering College- Thiruvallur Dist
1441,A K T Memorial College of Engineering and Technology - Villupuram (Dist)
1442,Prince Dr.K.Vasudevan College of Engineering and Technology - Kancheepuram (Dist)
1444,Chendu College of Engineering and Technology- Kanchipuram Dist
1445,Sri Rangapoopathi College of Engineering - Villupuram(Dist)
1447,"Jawahar Engineering College, Kaverirangan"
1449,Saraswathy College of Engineering & Technology Villupuram
1450,"Loyola - Icam College of Engineering and Technology- Nungambakkam,Chennai"
1452,Peri Institute of Technology- Kanchipuram Dist
1501,Adhiparasakthi College of Engineering - Vellore
1503,Arulmigu Meenakshi Amman College of Engineering - Tiruvannamalai
1504,Arunai Engineering College - Tiruvannamalai
1505,C. Abdul Hakeem College of Engineering and Technology - Vellore
1506,G.G.R. College of Engineering- Vellore Dt
1507,Ganadipathy Tulsi's Engineering College - Vellore
1508,Kamban Engineering College - Tiruvannamalai
1509,"Meenakshi College of Engineering - K.K. Nagar, Chennai"
1510,Priyadarshini Engineering College - Vellore
1511,Ranippettai Engineering College - Vellore
1512,S.K.P Engineering College - Tiruvannamalai
1513,Sri Balaji Chockalingam Engineering College - Tiruvannamalai
1514,Sri Nandhanam College of Engineering and Technology - Vellore
1515,Saraswathi Velu College of Engineering - Vellore
1516,Thanthai Periyar Govt. Institute of Technology - Vellore
1517,Thirumalai Engineering College - Kanchipuram
1518,"Thiruvalluvar College of Engineering and Technology - Vandavasi, TiruvannamalaiÂ"
1519,Bharathidasan Engineering College - Vellore
1520,Kingston Engineering College - Vellore
1521,Shri Sapthagiri Institute of Technology - Vellore(Dist)
1523,Global Institute of Engineering and Technology - Vellore(Dist)
1524,Annamalaiayar College of Engineering - Thiruvannamalai(Dist)
1525,Podhigai College of Engineering and Technology - Vellore(Dist)
1526,Sri Krishna College of Engineering - Vellore(Dist)
1528,KRS College of Engineering - Thiruvannamalai(Dist)
1529,Oxford College of Engineering - Thiruvannamalai(Dist)
1605,Idhaya Engineering College for Women - Villupuram
2005,Government College of Technology- Coimbatore
2006,P.S.G. College of Technology- Coimbatore
2007,Coimbatore Institute of Technology- Coimbatore
2025,Anna University Regional Campus - Coimbatore
2302,"Sri Shanmugha College of Engineering and Technology, Salem"
2314,"Muthayammal Technical Campus Kakkaveri, Namakkal Dist"
2327,N.S.N. College of Engineering and Technology - Karur (Dist)
2328,"K S R Institute for Engineering and Technology, Namakkal"
2329,"Rathinam Technical Campus, Coimbatore"
2332,"Aishwarya College of Engineering and Technology, Erode"
2338,Asian College of Engineering and Technology
2341,"Ganesh College of Engineering, Salem"
2342,"Sri Ranganathar Institute of Engineering and Technology, Coimbatore"
2345,"Dhirajlal Gandhi College of Technology, Salem"
2346,"Shree Sathyam College of Engineering and Technology, Salem"
2347,AVS College of Technology
2350,Jairupaa College of Engineering - Tiruppur (Dist)
2354,Pollachi Institute of Engineering and Technology - Coimbatore (Dist)
2355,Cheran College of Engineering - Karur (Dist)
2356,Arulmuruga Technical Campus - Karur (Dist)
2357,V.S.B. College of Engineering Technical Campus - Coimbatore (Dist)
2358,SCAD Institute of Technology
2360,Suguna College of Engineering - Coimbatore (Dist)
2362,Hosur Institute of Technology and Science - Krishnagiri (Dist)
2367,Arjun College of Technology
2369,Government College of Engineering - Dharmapuri
2377,PSG Institute of Technology and Applied Research
2601,Adhiyamaan College of Engineering (Autonomous) - Hosur
2602,Annai Mathammal Sheela Engineering College - Namakkal
2603,"Government College of Engineering, Bargur - Krishnagiri"
2606,Jayam College of Engineering and Technology - Dharmapuri
2607,K.S. Rangaswamy College of Technology (Autonomous) - Namakkal
2608,M. Kumaraswamy College of Engineering - Karur
2609,Mahendra Engineering College - Namakkal
2610,Muthayammal Engineering College - Namakkal
2611,Paavai Engineering College - Namakkal
2612,P.G.P. College of Engineering and Technology - Namakkal
2613,K.S.R College of Engineering - Tiruchengode [Namakkal (Dist)]
2614,S.S.M. College of Engineering - Trichengode [Namakkal (Dist)]
2615,Government College of Engineering (Autonomous) - Salem
2616,Sapthagiri College of Engineering - Dharmapuri
2617,Sengunthar Engineering College - Namakkal
2618,SONA College of Technology - Salem
2620,Vivekanandha College of Engineering for Women - Namakkal
2621,Er. Perumal Manimekalai College of Engineering - Hosur [Krishnagiri (Dist)]
2622,V.S.B. Engineering College - Karur
2623,Maha College of Engineering - Salem
2624,Gnanamani College of Technology - Namakkal
2625,The Kavery Engineering College - Salem
2627,Selvam College of Technology - Namakkal
2628,Paavai College of Engineering - Namakkal
2629,Sengunthar College of Engineering for Women - Tiruchengode [Namakkal(Dist)]
2630,Chettinad College of Engineering and Technology - Karur
2631,King College of Technology - Namakkal
2632,Mahendra Institute of Technology - Namakkal
2633,Vidhya Vikkas College of Engineering and Technolgy - Tiruchengode [Namakkal(Dist)]
2634,Excel Engineering College - Namakkal
2635,CMS College of Engineering - Namakkal
2636,AVS Engineering College - Salem
2638,Mahendra Engineering College for Women - Tiruchencode [Namakkal(Dist)]
2639,Narasu's Sarathy Institute of Technology - Salem
2640,Jayalakshmi Institute of Technology - Dharmapuri
2641,Varuvan Vadivelan Institute of Technology - Dharmapuri
2642,P.S.V. College of Engineering and Technology - Krishnagiri
2643,Bharathiyar Institute of Engineering for Women - Salem
2646,Tagore Institute of Engineering and Technology - Salem
2647,J.K.K Nataraja College of Engineering and Technology - Namakkal
2648,Annapoorana Engineering College- Salem (Dist)
2649,Karur College of Engineering- Karur (Dist)
2650,Christ The King Engineering College- Coimbatore (Dist)
2651,Jai Sriram College of Technology- Tirupur
2652,Al-Ameen Engineering College- Erode
2653,Knowledge Institute of Technology- Salem
2654,S V S College of Engineering - Coimbatore(Dist)
2656,Erode Builder Educational Trustâ€™s Group of Institutions - Tiruppur (Dist)
2657,Pavai College of Technology - Namakkal(Dist)
2658,V S A Educational and Charitable Trustâ€™s group of institutions - Salem(Dist)
2659,Salem College of Engineering and Technology - Salem(Dist)
2660,"Gnanamani College of Engineering, Namakkal"
2661,Vivekanandha College of Technology for women - Namakkal(Dist)
2662,Dr.Nagarathinam's College of Engineering - Namakkal (Dist)
2664,Excel College of Engineering and Technology - Namakkal
2665,Mahendra Institute of Engineering and Technology - Namakkal(Dist)
2666,The Kavery College of Engineering - Salem(Dist)
2673,Sree Sakthi Engineering College- Coimbatore (Dist)
2682,Professional Educational Trust-s Group of Institutions- Thiruppur(Dist)
2683,Shreenivasa Engineering College- Dharmapuri (Dist)
2702,"Bannari Amman Institute of Technology (Autonomous) - Sathyamangalam, Erode"
2704,Coimbatore Institute of Engineering and Information Technology - Coimbatore
2705,C.S.I College of Engineering - Nilgiris
2706,Dr. Mahalingam College of Engineering and Technology - Coimbatore
2707,Erode Sengunthar Engineering College - Erode
2708,Hindusthan College of Engineering and Technology - Coimbatore
2709,Institute of Road and Transport Technology - Erode
2710,Karpagam College of Engineering (Autonomous) - Coimbatore
2711,Kongu Engineering College (Autonomous) - Erode
2712,Kumaraguru College of Technology (Autonomous) - Coimbatore
2713,M.P. Nachimuthu M. Jaganathan Engineering College - Erode
2714,Maharaja Engineering College - Avinashi [Coimbatore (Dist)]
2715,Nandha Engineering College - Erode
2716,Park College of Engineering Technology - Coimbatore
2717,Sasurie College of Engineering - Thiruppur (Dist)
2718,Sri Krishna College of Engineering and Technology - Coimbatore
2719,Sri Ramakrishna Engineering College (Autonomous) - Coimbatore
2721,Tamilnadu College of Engineering - Coimbatore
2722,V.L.B. Janakiammal College of Engineering and Technology - Coimbatore
2723,Vellalar College of Engineering and Technology - Erode
2725,Sri Ramakrishna Institute of Technology - Coimbatore
2726,SNS College of Technology - Coimbatore
2727,Sri Shakthi Institute of Engineering and Technology - Coimbatore
2729,Nehru Institute of Engineering and Technology - Coimbatore
2730,Maharaja Institute of Technology - Coimbatore
2731,R V S College of Engineering and Technology - Coimbatore
2732,Info Institute of Engineering - Coimbatore
2733,Angel College of Engineering and Technology - Tirupur
2734,S N S College of Engineering - Coimbatore
2735,Karpagam Institute of Technology - Coimbatore
2736,Dr. NGP Institute of Science and Technology - Coimbatore
2737,Ranganathan Engineering College - Coimbatore
2738,Sasurie Academy of Engineering- Coimbatore [Formerly known as
2739,Sri Eashwar Engineering College - Coimbatore
2740,Hindustan Institute of Technology - Coimbatore
2741,P.A. College of Engineering - Pollachi [Coimbatore(Dist)]
2743,SSK College of Engineering and Technology - Coimbatore
2744,Adithya Institute of Technology - Coimbatore
2745,Kathir College of Engineering - Coimbatore
2747,"Shree Venkateswara Hi -Tech Engineering College - Gopichettipalayam, Erode"
2748,Surya Engineering College - Erode
2749,Easa College of Engineering and Technology - Coimbatore
2750,Kalaignar Karunanidhi Institute of Technology - Coimbatore
2751,KGISL Institute of Technology - Coimbatore
2752,Nandha Institute of Technology - Erode
2753,PPG Institute of Technology - Coimbatore
2755,Jawaharlal Institute of Technology - Coimbatore
2758,JKK Muniraja Institute of Technology - Erode
2761,United Institute of Technology - Coimbatore(Dist)
2762,Jansons Institute of Technology- Coimbatore
2763,Akshaya College of Engineering & Technology- Coimbatore
2764,K P R Institute of Engineering and Technology- Coimbatore
2765,Sriguru Institute of Technology- Coimbatore
2767,SRG Engineering College - Namakkal(Dist)
2768,Park College of Technology- Coimbatore
2769,J C T College of Engineering and Technology- Coimbatore
2770,Kalaivani College of Technology - Coimbatore(Dist)
2771,Dr.Nalini Institute of Engineering and Technology - Coimbatore(Dist)
2772,C M S College of Engineering and Technology - Coimbatore(Dist)
2776,RVS Technical Campus - Coimbatore
3011,"University Departments of Anna University,Â Tiruchirappalli, BIT CampusÂ"
3016,Anna University of Technology Tiruchirappalli - Ariyalur Campus
3018,"Anna University of Technology Tiruchirappalli- Tirukuvalai Campus, Nagapattinam (Dist)"
3019,Anna University of Technology TiruchirappalliÂ - Panruti Campus - Cuddalore (Dist)
3021,Anna University of Technology Tiruchirappalli- Pattukkottai Campus
3403,"Mahalakshmi Engineering College, Thiruchirappalli"
3410,Krishnasamy College of Engineering and Technology - Cuddalore
3425,Sri Jayaram Engineering College - Cuddalore
3451,SMR East Coast College of Engineering and Technology-Somanathapattinam- Thanjavur(Dist)
3454,Sri Ramakrishna College of Engineering - Perambalur (Dist)
3456,"K.S.K College of Engineering & Technology-Darasuram,Kumbakonam, Thanjavur(Dist)"
3457,Dhanalakshmi Srinivasan College of Engineering - Perambalur (Dist)
3458,Dhanalakshmi Srinivasan Institute of Research and Technology - Perambalur (Dist)
3459,Dhanalakshmi Srinivasan Institute of Technology - Thiruchirappalli (Dist)
3460,Sureya College of Engineering - Thiruchirappalli (Dist)
3462,Ariyalur Engineering College
3464,Government College of Engineering - Thanjavur
3465,Government College of Engineering - Srirangam
3466,NELLIANDAVAR INSTITUTE OF TECHNOLOGY
3701,K.Ramakrishnan College of Technology - Thiruchirapalli (Dist)
3760,Sir Issac Newton College of Engineering and Technology- Nagapattinam (Dist)
3766,Star Lion College of Engineering and Technology- Thanjavur(Dist)
3781,K.K.C College of Engineering and Technology- Ariyalur (Dist)
3782,"OAS Institute of Technology and Management, Thiruchirappalli"
3786,M.A.M. School of Engineering - Thiruchirapalli (Dist)
3795,Trp Engineering College- Thiruchirapalli (Dist)
3801,A.V.C College of Engineering - Nagapattinam
3802,Shri Angala Amman College of Engineering and Technology - Trichy
3803,Anjalai Ammal Mahalingam Engineering College - Thiruvarur
3804,Arasu Engineering College - Kumbakonam
3805,Dhanalakshmi Srinivasan Engineering College - Perambalur
3806,Edayathangudy G.S. Pillay Engineering College - Nagapattinam
3807,J.J. College of Engineering and Technology - Trichy
3808,Jayaram College of Engineering and Technology - Trichy
3809,Kurinji College of Engineering and Technology - Trichy
3810,Mam College of Engineering - Trichy
3811,M.I.E.T Engineering College - Trichy
3812,Mookambigai College of Engineering - Pudukkottai
3813,Oxford Engineering College - Trichy
3814,P.R. Engineering College - Thanjavur
3815,Pavendar Bharathidasan College of Engineering and Technology - Trichy
3817,Roever Engineering College - Perambalur
3819,Saranathan College of Engineering - Trichy
3820,Trichy Engineering College - Trichy
3821,A.R.J College of Engineering and Technology - Tiruvarur
3822,Dr.Navalar Nedunchezhiyan College of Engineering - Cuddalore
3823,Srinivasan Engineering College - Perambalur
3825,St.Joseph's College of Engineering and Technology - Thanjavur
3826,Kongunadu College of Engineering and Technology - Trichy
3829,M.A.M. College of Engineering and Technology - Trichy
3830,K.Ramakrishnan College of Engineering - Trichy
3831,Indra Ganesan College of Engineering - Trichy
3833,Parisutham Institute of Science and Technology - Thanjavur
3841,C.A.R.E School of Engineering -Thiruchirappalli(Dist)
3843,M R K Institute of Technology -Cuddalore(Dist)
3844,Shivani Engneering College -Thiruchirappalli(Dist)
3845,Imayam College of Engineering -Thiruchirappalli(Dist)
3846,Mother Terasa College of Engineering and Technology -Pudukkottai(Dist)
3847,Roever College of Engineering and Technology -Perambalur(Dist)
3848,Vandayar Engineering College -Thanjavur(Dist)
3849,Annai College of Engineering and Technology -Thanjavur(Dist)
3850,Vetri Vinayaha College of Engineering and Technology -Thiruchirappalli(Dist)
3852,Sri Bharathi Engineering College for women -Pudukkottai(Dist)
3854,Mahath Amma Institute of Engineering and Technology -Pudukkottai(Dist)
3855,As-Salam College of Engineering and Technology -Thanjavur(Dist)
3857,Meenakshi Ramaswamy Engineering College -Ariyalur(Dist)
3859,Sembodai Rukmani Varatharajan Engineering College -Nagapattinam(Dist)
3860,St.Anneâ€™s College of Engineering and Technology -Cuddalore(Dist)
3905,Kings College of Engineering - Pudukottai
3908,Mount Zion College of Engineering and Technology - Pudukkottai
3918,Shanmuganathan Engineering College - Pudukkottai
3920,Sudharsan Engineering College - Pudukkottai
3923,MNSK College of Engineering - Pudukkottai
3925,M.A.R College of Engineering and Technology - Pudukotai
3926,Chendhuran College of Engineering and Technology - Pudukottai
4020,University Departments of Anna University of Tech. Tirunelveli
4023,University College of Engg.- Nagercoil (Anna University Tirunelveli - Nagercoil campus)
4024,University Voc College of Engg-Thoothukudi (Anna University Tirunelveli - Thoothukudi Campus)
4669,"Thamirabharani Engineering College, Thirunelveli"
4670,Rohini College of Engineering and Technology - Kanniyakumari (Dist)
4672,Stella Mary's College of Engineering
4675,"Universal College of Engineering & Technology, Thirunelveli"
4676,"Renganayagi Varatharaj College of Engineering, Virudhunagar"
4677,Lourdes Mount College of Engineering Technology
4678,Ramco Institute of Technology
4680,"AAA College of Engineering and Technology, Kamarajar Educational Road, Amathur Village, Sivakasi"
4686,Good Shepherd College of Engineering & Technology
4864,V V College of Engineering-Thoothukudi- Thoothukudi (Dist)
4917,"Sethu Institute of Technology - Kariyapatti,Virudhunagar (Dist)"
4927,Maria College of Engineering and Technology- Kanyakumari
4928,Mar Ephraem College of Engineering and Technology- Kanniyakumari (Dist)
4929,"M.E.T ENGINEERING CO.PDF target=""_blank"">EGE -Kanniyakumari(Dist)"
4931,Chandy College of Engineering -Thoothukudi(Dist)
4932,Immanuel Arasar J J College of Engineering -Kanniyakumari(Dist)
4933,St.Mother Theresa Engineering College -Thoothukudi(Dist)
4934,Holy Cross Engineering College -Thoothukudi(Dist)
4937,A.R. College of Engineering and Technology - Thirunelveli Dist
4938,Sivaji College of Engineering and Technology- Kanniyakumari
4941,Unnamalai Institute of Technology -Thoothukudi(Dist)
4943,Satyam College of Engineering and Technology -Kanniyakumari(Dist)
4944,Arunachala College of Engineering for Women -Kanniyakumari(Dist)
4945,Vins Christian Women'S College of Engineering -Kanniyakumari(Dist)
4946,DMI Engineering College -Kanniyakumari(Dist)
4948,Rajas International Institute of Technology for women -Kanniyakumari(Dist)
4949,PSN Institute of Technology and Science -Tirunelveli(Dist)
4952,C.S.I. Institute of Technology - Kanyakumari
4953,CAPE Institute of Technology - Thirunelveli
4954,Dr.Sivanthi Aditanar College of Engineering - Tuticorin
4955,Francis Xavier Engineering College - Thirunelveli
4957,"Jayaraj Annapackiam CSI College of Engineering - Nazareth, Thoothukudi (Dist)"
4959,Kamaraj College of Engineering and Technology - MaduraiÂ
4960,Mepco Schlenk Engineering College - Virudhunagar
4961,National College of Engineering - Thirunelveli
4962,National Engineering College - Kovilpatti
4964,PSN College of Engineering and Technology - Thirunelveli
4965,P.S.R Engineering College - Virudhunagar
4966,PET College of Engineering - Thirunelveli
4967,S. Veerasamy Chettiar College of Engineering and Technology - Thirunelveli
4968,Sardar Raja College of Engineering - Thirunelveli
4969,SCAD College of Engineering and Technology - Thirunelveli
4970,Sree Sowdambika College of Engineering - Virudhunagar
4971,St.Xaviers Catholic College of Engineering - Kanyakumari
4972,Sun College of Engineering and Technology - Kanyakumari
4973,"The Rajaas Engineering College(Formerly The Indian Engg College) - Vadakangulam,Tirunelveli (Dist)"
4974,Government College of Engineering - Thirunelveli
4975,Dr.G.U. Pope College of Engineering - Tuticorin
4976,Infant Jesus College of Engineering - Tuticorin
4977,Narayana Guru College of Engineering - Kanyakumari
4978,Udaya School of Engineering - Kanyakumari
4979,V.P. Muthaiah Pillai Meenakshi Engineering College for Women - Virudhunagar
4980,Einstein College of Engineering - Thirunelveli
4981,Ponjesly College of Engineering - Kanyakumari
4982,Vins Christian College of Engineering - Kanyakumari
4983,Lord Jegannath College of Engineering and Technology - Kanyakumari
4984,Marthandam College of Engineering and Technology - Kanyakumari
4987,James College of Engineering and Technology - Kanyakumari
4989,"PSN Engineering College - Palayamkottai,Tirunelveli (Dist)"
4991,Kalasalingam Institute of Technology - Virudhunagar (Dist)
4992,Bethlahem Institute of Engineering - Kanyakumari
4993,Loyola Institute of Technology and Science - Kanniyakumari
4994,JP College of Engineering - Tirunelveli
4995,P.S.R.Rengasamy College of Engineering for Women - Virudhunagar
4996,Sri Vidya College of Engineering and Technology - Virudhunagar
4997,Infant Jesus College of Engineering and Technology - Thoothukudi
4998,Mahakavi Bharathiyar College of Engineering and Technology - Tirunelveli (Dist)
4999,Annai Vailankanni College of Engineering - Kanyakumari
5008,Thiagarajar College of Engineering- Madurai
5009,Government College of Engineering Bodiyanayakkanur - Theni (Dist)
5010,Anna University Regional Campus - Madurai
5012,Central Electrochemical Research Institute(CSIR) - Karaikudi
5017,Anna University of Technology Madurai- Ramanathapuram Campus
5022,Anna University of Technology MaduraiÂ - Dindigul Campus
5502,Sree Raaja Raajan College of Engineering and Technology- Sivaganga (Dist)
5530,"SSM Institute of Engineering and Technology, Dindigul"
5532,Vaigai College of Engineering - Madurai (Dist)
5533,"Karaikudi Institute of Technology & Karaikudi Institute of Management, Sivaganga"
